Tanggal;AF01;AF02;AF03;AF04;AF05;AF06;AF07;AF08;AF09;AF10;AF11;AF12;AF13;AF14;AF15;AF16;AF17;AF18;AF19;AF20;RY01;RY02;RY03
01/01/2021;10;0;0;10;0;0;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/01/2021;5;11;2,5;5;2,5;11;5;5;7,8;16;16;16;18,2;18,2;0;0;0;0;0;0;0;0;0
03/01/2021;23;10,6;23,5;23;23,5;10,6;12,8;12,8;10,2;19;19;19;12;12;0;0;0;0;0;0;0;0;0
04/01/2021;7;5;1,5;7;1,5;5;4;4;2,8;2;2;2;7,2;7,2;0;0;0;0;0;0;0;0;0
05/01/2021;0;0;0;0;0;0;0;0;0;0;0;0;4,6;4,6;0;0;0;0;0;0;0;0;0
06/01/2021;77;36,2;52;77;52;36,2;30;30;15,2;7;7;7;0;0;0;0;0;0;0;0;0;0;0
07/01/2021;11;5,5;6;11;6;5,5;2;2;3,2;0;0;0;1,8;1,8;0;0;0;0;0;0;0;0;0
08/01/2021;1,2;0;7,5;1,2;7,5;0;8;8;4,6;11;11;11;5,8;5,8;0;0;0;0;0;0;0;0;0
09/01/2021;6;5;3,5;6;3,5;5;13;13;3,8;6;6;6;2,4;2,4;0;0;0;0;0;0;0;0;0
10/01/2021;24,5;16;12;24,5;12;16;8;8;9,2;7;7;7;5,1;5,1;0;0;0;0;0;0;0;0;0
11/01/2021;40;16;13,5;40;13,5;16;6;6;24,8;5;5;5;9,2;9,2;0;0;0;0;0;0;0;0;0
12/01/2021;2;4,8;72;2;72;4,8;31;31;74,8;34,5;34,5;34,5;15,4;15,4;0;0;0;0;0;0;0;0;0
13/01/2021;19;27,1;13;19;13;27,1;11;11;14,2;14;14;14;17,9;17,9;0;0;0;0;0;0;0;0;0
14/01/2021;23;38;20;23;20;38;22;22;22,2;25;25;25;45,8;45,8;0;0;0;0;0;0;0;0;0
15/01/2021;0;0;0;0;0;0;0;0;0;0;0;0;1,1;1,1;0;0;0;0;0;0;0;0;0
17/01/2021;13;11;12,5;13;12,5;11;3;3;7,4;6,5;6,5;6,5;0;0;0;0;0;0;0;0;0;0;0
23/01/2021;8;24;8;8;8;24;12,6;12,6;13,2;11;11;11;6,9;6,9;0;0;0;0;0;0;0;0;0
24/01/2021;1,3;2,2;4,5;1,3;4,5;2,2;9,4;9,4;8,6;15;15;15;30,4;30,4;0;0;0;0;0;0;0;0;0
25/01/2021;6;12,9;17;6;17;12,9;7,2;7,2;24,6;18;18;18;9,1;9,1;0;0;0;0;0;0;0;0;0
26/01/2021;8,5;15,2;16,5;8,5;16,5;15,2;8;8;3,8;2,5;2,5;2,5;2,6;2,6;0;0;0;0;0;0;0;0;0
27/01/2021;21;25,2;22,5;21;22,5;25,2;14;14;3,6;14;14;14;15,2;15,2;0;0;0;0;0;0;0;0;0
28/01/2021;0;0;0;0;0;0;0;0;14,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29/01/2021;5;3,5;6,5;5;6,5;3,5;4;4;0;0;0;0;7,2;7,2;0;0;0;0;0;0;0;0;0
01/02/2021;23,2;7,5;24,5;23,2;24,5;7,5;3;3;21,2;9;9;9;9,8;9,8;0;0;0;0;0;0;0;0;0
